,DT,GBDT,MLP,SVM,RF,kNN
BankNote,0.998 (0.557),0.990 (0.442),0.992 (0.060),0.995 (0.108),0.989 (0.733),0.994 (0.269)
Banana,1.005 (0.337),0.989 (0.350),0.997 (0.063),0.999 (0.044),0.995 (0.480),1.001 (0.214)
Colleges,0.925 (0.174),0.910 (0.210),0.918 (0.030),0.897 (0.036),0.892 (0.206),0.901 (0.063)
EEGEye,0.925 (0.194),0.967 (0.223),0.907 (0.071),0.919 (0.030),0.918 (0.226),0.928 (0.080)
Employee,0.959 (0.232),0.971 (0.253),0.947 (0.088),0.971 (0.049),0.968 (0.349),0.976 (0.134)
Mushroom,0.999 (0.331),0.998 (0.269),0.993 (0.101),0.996 (0.048),0.998 (0.498),0.997 (0.106)
RingNorm,0.950 (0.194),0.992 (0.193),0.969 (0.060),1.000 (0.043),0.999 (0.221),0.748 (0.043)
TwoNorm,0.966 (0.155),0.991 (0.185),1.000 (0.078),0.999 (0.046),0.995 (0.195),0.995 (0.043)
URLSpam,0.890 (0.238),0.965 (0.262),0.925 (0.125),0.863 (0.007),0.904 (0.320),0.917 (0.094)
